dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.261617,10.679553,0.000495,0.049538,2.476914,123.845704,0.000266
0.020000,5.261656,10.679553,0.000534,0.001951,-2.379365,-242.813962,0.000217
0.020000,5.261734,10.679553,0.000612,0.003904,0.097666,123.851582,0.000120
0.020000,5.262934,10.679553,0.001812,0.059968,2.803172,135.275288,6.283159
0.020000,5.271016,10.679552,0.009895,0.404135,17.208386,720.260686,6.282963
0.020000,5.281120,10.679548,0.019998,0.505187,5.052567,-607.790971,6.282718
0.020000,5.293245,10.679541,0.032123,0.606249,5.053110,0.027188,6.282423
0.020000,5.307392,10.679528,0.046270,0.707325,5.053783,0.033635,6.282078
0.020000,5.323560,10.679507,0.062438,0.808427,5.055120,0.066872,6.281683
0.020000,5.341751,10.679475,0.080629,0.909535,5.055383,0.013146,6.281237
0.020000,5.361964,10.679431,0.100843,1.010678,5.057176,0.089639,6.280739
0.020000,5.384201,10.679370,0.123079,1.111837,5.057931,0.037749,6.280189
0.020000,5.408461,10.679290,0.147340,1.213024,5.059353,0.071117,6.279587
0.020000,5.434746,10.679187,0.173625,1.314238,5.060721,0.068396,6.278930
0.020000,5.463056,10.679057,0.201934,1.415497,5.062937,0.110761,6.278220
0.020000,5.493391,10.678894,0.232270,1.516773,5.063787,0.042526,6.277454
0.020000,5.525752,10.678696,0.264632,1.618097,5.066226,0.121960,6.276632
0.020000,5.560140,10.678455,0.299021,1.719458,5.068055,0.091446,6.275753
0.020000,5.596556,10.678167,0.335438,1.820860,5.070092,0.101815,6.274816
0.020000,5.635001,10.677827,0.373885,1.922313,5.072640,0.127415,6.273820
0.020000,5.675475,10.677426,0.414361,2.023801,5.074407,0.088341,6.272763
0.020000,5.717980,10.676959,0.456868,2.125353,5.077601,0.159709,6.271645
0.020000,5.762515,10.676419,0.501407,2.226948,5.079758,0.107876,6.270463
0.020000,5.809083,10.675798,0.547979,2.328602,5.082682,0.146184,6.269217
0.020000,5.857684,10.675087,0.596585,2.430313,5.085543,0.143065,6.267905
0.020000,5.908320,10.674278,0.647227,2.532086,5.088632,0.154433,6.266526
0.020000,5.960990,10.673363,0.699905,2.633926,5.092023,0.169539,6.265077
0.020000,6.015697,10.672330,0.754622,2.735829,5.095135,0.155627,6.263558
0.020000,6.072441,10.671171,0.811378,2.837801,5.098599,0.173184,6.261967
0.020000,6.131224,10.669875,0.870175,2.939847,5.102296,0.184874,6.260301
0.020000,6.192046,10.668430,0.931014,3.041965,5.105934,0.181879,6.258560
0.020000,6.254909,10.666825,0.993897,3.144167,5.110104,0.208483,6.256740
0.020000,6.319813,10.665046,1.058826,3.246444,5.113845,0.187045,6.254840
