dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.262043,9.079553,0.000495,0.049538,2.476914,123.845704,0.000266
0.020000,5.262004,9.079553,0.000534,0.001951,-2.379365,-242.813962,0.000217
0.020000,5.261926,9.079553,0.000612,0.003904,0.097666,123.851582,0.000120
0.020000,5.262891,9.079553,0.001577,0.048243,2.216934,105.963394,6.283159
0.020000,5.270661,9.079552,0.009347,0.388480,17.011853,739.745934,6.282963
0.020000,5.280372,9.079549,0.019059,0.485581,4.855056,-607.839861,6.282718
0.020000,5.292026,9.079541,0.030712,0.582669,4.854388,-0.033404,6.282423
0.020000,5.305620,9.079529,0.044307,0.679741,4.853604,-0.039180,6.282078
0.020000,5.321157,9.079508,0.059843,0.776805,4.853219,-0.019252,6.281683
0.020000,5.338633,9.079478,0.077320,0.873837,4.851561,-0.082928,6.281237
0.020000,5.358050,9.079436,0.096737,0.970859,4.851130,-0.021532,6.280739
0.020000,5.379407,9.079377,0.118094,1.067848,4.849459,-0.083538,6.280189
0.020000,5.402703,9.079301,0.141390,1.164812,4.848185,-0.063693,6.279587
0.020000,5.427938,9.079202,0.166625,1.261744,4.846614,-0.078585,6.278930
0.020000,5.455111,9.079076,0.193798,1.358657,4.845608,-0.050270,6.278220
0.020000,5.484221,9.078921,0.222908,1.455517,4.843044,-0.128197,6.277454
0.020000,5.515267,9.078730,0.253955,1.552352,4.841755,-0.064470,6.276632
0.020000,5.548249,9.078499,0.286938,1.649145,4.839628,-0.106363,6.275753
0.020000,5.583166,9.078223,0.321856,1.745894,4.837445,-0.109113,6.274816
0.020000,5.620017,9.077897,0.358708,1.842604,4.835498,-0.097376,6.273820
0.020000,5.658800,9.077513,0.397493,1.939255,4.832543,-0.147742,6.272763
0.020000,5.699515,9.077066,0.438211,2.035869,4.830695,-0.092376,6.271645
0.020000,5.742160,9.076549,0.480859,2.132421,4.827592,-0.155193,6.270463
0.020000,5.786735,9.075954,0.525438,2.228920,4.824956,-0.131770,6.269217
0.020000,5.833237,9.075274,0.571945,2.325359,4.821993,-0.148168,6.267905
0.020000,5.881665,9.074500,0.620380,2.421739,4.818976,-0.150835,6.266526
0.020000,5.932019,9.073625,0.670741,2.518058,4.815974,-0.150084,6.265077
0.020000,5.984296,9.072639,0.723027,2.614307,4.812430,-0.177223,6.263558
0.020000,6.038494,9.071532,0.777237,2.710486,4.808942,-0.174421,6.261967
0.020000,6.094612,9.070294,0.833368,2.806594,4.805394,-0.177399,6.260301
0.020000,6.152649,9.068915,0.891421,2.902624,4.801502,-0.194560,6.258560
0.020000,6.212601,9.067384,0.951393,2.998580,4.797830,-0.183639,6.256740
0.020000,6.274466,9.065689,1.013282,3.094450,4.793455,-0.218715,6.254840
0.020000,6.338244,9.063817,1.077086,3.190243,4.789659,-0.189802,6.252858
0.020000,6.403930,9.061757,1.142805,3.285941,4.784917,-0.237134,6.250791
0.020000,6.471523,9.059494,1.210436,3.381549,4.780385,-0.226585,6.248638
0.020000,6.541021,9.057014,1.279978,3.477071,4.776123,-0.213104,6.246396
0.020000,6.612419,9.054303,1.351427,3.572486,4.770753,-0.268505,6.244062
0.020000,6.685715,9.051345,1.424784,3.667810,4.766196,-0.227838,6.241635
0.020000,6.760907,9.048124,1.500044,3.763025,4.760717,-0.273947,6.239111
0.020000,6.837990,9.044623,1.577207,3.858134,4.755499,-0.260879,6.236487
0.020000,6.916962,9.040825,1.656269,3.953133,4.749913,-0.279310,6.233762
0.020000,6.997817,9.036711,1.737230,4.048024,4.744537,-0.268796,6.230933
0.020000,7.080554,9.032263,1.820086,4.142791,4.738358,-0.308965,6.227995
